Team,Nationality,Position,Age,Potential,Name
UD Las Palmas ,Spain,Defensor Central,34,Bueno,Aythami Artiles
R. Oviedo ,Spain,Defensor Lateral Izquierdo | Defensor Central,34,Bueno,Christian Fernández
R. Valladolid CF ,Spain,Defensor Lateral Derecho | Defensor Lateral Izquierdo,34,Bueno,Javi Moyano
Santa Clara ,Portugal,Extremo Derecho | Extremo Izquierdo,32,Bueno,Ukra
Gil Vicente FC ,Portugal,Segundo Delantero,32,Bueno,Hugo Vieira
Lincoln City ,Scotland,Mediocampista Defensivo Central | Mediocampista Central,31,Bueno,Liam Bridcutt
VVV-Venlo ,England,Mediocampista Defensivo Central | Mediocampista Central,32,Bueno,Lee Cattermole
Sheffield Wednesday ,England,Mediocampista Central,32,Bueno,Kieran Lee
Huddersfield Town ,England,Segundo Delantero,32,Bueno,Fraizer Campbell
Wigan Athletic ,England,Segundo Delantero,32,Bueno,Joe Garner
Millwall ,England,Arquero,32,Bueno,Frank Fielding
FK Austria Wien ,Austria,Defensor Central,32,Bueno,Michael Madl
Royal Excel Mouscron ,Tunisia,Segundo Delantero | Centrocampista Ofensivo Central,34,Bueno,Sami Allagui
FC Basel 1893 ,Serbia,Mediocampista Defensivo Central | Mediocampista Central,32,Bueno,Zdravko Kuzmanovic
Newcastle United ,Republic of Ireland,Arquero,34,Bueno,Rob Elliot
Castellammare di Stabia ,Denmark,Defensor Central,33,Bueno,Magnus Troest
Odds BK ,Norway,Defensor Central,34,Bueno,Steffen Hagen
Free Agents ,Iceland,Defensor Central,37,Bueno,Kári Árnason
Sunderland ,Northern Ireland,Segundo Delantero,32,Bueno,Kyle Lafferty
Queens Park Rangers ,England,Mediocampista Izquierdo | Centrocampista Ofensivo Central,33,Bueno,Marc Pugh
Motherwell ,Northern Ireland,Arquero,32,Bueno,Trevor Carson
MKE Ankaragücü ,Argentina,Centrocampista Ofensivo Central,35,Bueno,Óscar Scarione
Newcastle Jets ,Wales,Mediocampista Defensivo Central,33,Bueno,Joe Ledley
FC Midtjylland ,Finland,Mediocampista Defensivo Central | Mediocampista Central,33,Bueno,Tim Sparv
San Jose Earthquakes ,United States,Segundo Delantero,37,Bueno,Chris Wondolowski
Fleetwood Town ,Republic of Ireland,Mediocampista Defensivo Central | Mediocampista Central,36,Bueno,Glenn Whelan
R. Oviedo ,Argentina,Arquero,35,Bueno,Nereo Champagne
Al Wehda ,Brazil,Mediocampista Derecho | Centrocampista Ofensivo Central | Extremo Derecho,34,Bueno,Élton
Aberdeen ,Scotland,Mediocampista Defensivo Central | Mediocampista Central,33,Bueno,Craig Bryson
Paris FC ,Burkina Faso,Centrocampista Ofensivo Central | Extremo Derecho,34,Bueno,Jonathan Pitroipa
SK Rapid Wien ,Austria,Defensor Central,33,Bueno,Mario Sonnleitner
Toronto FC ,United States,Arquero,34,Bueno,Quentin Westberg
FC Lorient ,France,Centrocampista Ofensivo Central | Extremo Derecho,34,Bueno,Sylvain Marveaux
BK Häcken ,Sweden,Defensor Central,35,Bueno,Rasmus Lindgren
Aberdeen ,Scotland,Defensor Lateral Izquierdo | Defensor Central,33,Bueno,Andrew Considine
Sheffield United ,England,Segundo Delantero,35,Bueno,Leon Clarke
Huddersfield Town ,England,Defensor Central,32,Bueno,Richard Stearman
Gimnasia y Esgrima La Plata ,Argentina,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,39,Bueno,Lucas Licht
Blackburn Rovers ,England,Mediocampista Defensivo Central | Mediocampista Central,33,Bueno,Bradley Johnson
Olympiacos CFP ,Greece,Defensor Central,35,Bueno,Avraam Papadopoulos
Torino ,Italy,Arquero,37,Bueno,Antonio Rosati
Pescara ,Bulgaria,Segundo Delantero,34,Bueno,Valeri Bojinov
Venezia ,Italy,Defensor Lateral Izquierdo | Mediocampista Izquierdo,36,Bueno,Cristian Molinaro
Odds BK ,Norway,Defensor Lateral Derecho,36,Bueno,Espen Ruud
FC Paços de Ferreira ,Brazil,Mediocampista Defensivo Central,35,Bueno,Luíz Carlos
Clubul Sportiv Gaz Metan Media? ,Romania,Defensor Central,35,Bueno,Marius Constantin
Real Racing Club ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,36,Bueno,Cejudo
Denizlispor ,Turkey,Arquero,34,Bueno,Tolgahan Acar
Deportes Iquique ,Chile,Mediocampista Central | Centrocampista Ofensivo Central,35,Bueno,Gustavo Lorenzetti
WSG Swarovski Tirol ,Slovenia,Segundo Delantero | Extremo Izquierdo,35,Bueno,Zlatko Dedic
Pisa ,Italy,Segundo Delantero | Delantero Centro,40,Bueno,Davide Moscardelli
Jeonbuk Hyundai Motors ,Korea Republic,Segundo Delantero,41,Bueno,Lee Dong Gook
Real Racing Club ,Spain,Defensor Central,34,Bueno,Alexis
Bristol City ,Finland,Arquero,35,Bueno,Niki Mäenpää
Yeni Malatyaspor ,Turkey,Segundo Delantero | Mediocampista Izquierdo,37,Bueno,Umut Bulut
Pescara ,Argentina,Defensor Central,40,Bueno,Hugo Campagnaro
Kilmarnock ,Scotland,Mediocampista Derecho | Extremo Derecho,36,Bueno,Chris Burke
La Spezia ,Italy,Defensor Central,36,Bueno,Claudio Terzi
Swansea City ,England,Mediocampista Derecho | Mediocampista Izquierdo,35,Bueno,Wayne Routledge
West Bromwich Albion ,Northern Ireland,Mediocampista Defensivo Central | Mediocampista Central,35,Bueno,Chris Brunt
Club Nacional de Football ,Uruguay,Mediocampista Derecho | Centrocampista Ofensivo Central | Extremo Derecho,20,Muy Bueno,Santiago Rodríguez
Ettifaq FC ,Morocco,Segundo Delantero,25,Bueno,Walid Azaro
Celtic ,Ivory Coast,Mediocampista Defensivo Central,22,Bueno,Ismaila Soro
Club Atlético Lanús ,Argentina,Defensor Lateral Derecho,25,Bueno,Nicolás Morgantini
Tiburones Rojos de Veracruz ,Mexico,Arquero,22,Bueno,José Trinidad Villeda
Oita Trinita ,Japan,Mediocampista Izquierdo | Centrocampista Ofensivo Central,29,Bueno,Naoki Nomura
Club Deportivo El Nacional ,Ecuador,Arquero,27,Bueno,Johan Padilla
Belenenses ,Portugal,Defensor Lateral Izquierdo,19,Muy Bueno,Nilton Varela
Sociedad Deportiva Aucas ,Ecuador,Mediocampista Derecho,21,Bueno,Janus Vivar
Caracas Fútbol Club ,Argentina,Segundo Delantero,32,Bueno,Alexis Blanco
C.D. Universidad Católica del Ecuador ,Ecuador,Defensor Lateral Derecho | Defensor Central | Mediocampista Defensivo Central,21,Bueno,Kevin Minda
Club Plaza de Deportes Colonia ,Uruguay,Arquero,25,Bueno,Nicolás Guirin
Delfín Sporting Club ,Ecuador,Mediocampista Defensivo Central,25,Bueno,David Noboa
Club Atlético Nacional Potosí ,Bolivia,Defensor Lateral Izquierdo,29,Bueno,Daniel Mancilla
Club Alianza Lima ,Peru,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,22,Muy Bueno,Aldair Fuentes
Sport Huancayo ,Peru,Centrocampista Ofensivo Central | Extremo Derecho | Extremo Izquierdo,28,Bueno,Marcos Lliuya
Sport Huancayo ,Paraguay,Segundo Delantero,34,Bueno,Carlos Neumann
Barcelona Guayaquil ,Ecuador,Segundo Delantero,23,Bueno,Angel Quiñónez
Club Alianza Lima ,Peru,Defensor Lateral Derecho,25,Bueno,Aldair Salazar
Independiente del Valle ,Ecuador,Segundo Delantero,23,Bueno,Alejandro Cabeza
Centro Atlético Fénix ,Uruguay,Defensor Lateral Derecho | Defensor Central,24,Bueno,Jonathan Toledo
Club América ,Uruguay,Defensor Central,20,Bueno,Sebastián Cáceres
Club Libertad ,Uruguay,Mediocampista Izquierdo,24,Bueno,Rodrigo Rivero
Club Nacional de Football ,Uruguay,Defensor Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Ayrton Cougo
Celtic ,Netherlands,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,19,Muy Bueno,Jeremie Frimpong
Málaga CF ,Algeria,Mediocampista Central | Centrocampista Ofensivo Central,27,Bueno,Mohamed Benkhemassa
PFC CSKA Moscow ,Ivory Coast,Defensor Central,26,Bueno,Cédric Gogoua
Stade Rennais FC ,France,Centrocampista Ofensivo Central | Delantero Centro,19,Bueno,Yann Gboho
AD Alcorcón ,Ukraine,Mediocampista Derecho | Mediocampista Izquierdo,27,Bueno,Serhii Miakushko
AD Alcorcón ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Ernesto
Cerezo Osaka ,Japan,Segundo Delantero,31,Bueno,Koji Suzuki
CD Numancia ,Serbia,Segundo Delantero,22,Bueno,Igor Zlatanovic
CD Tondela ,Brazil,Segundo Delantero,20,Muy Bueno,Richard Rodrigues
CD Tenerife ,Serbia,Defensor Central,25,Bueno,Nikola Šipcic
SD Ponferradina ,Spain,Segundo Delantero | Mediocampista Izquierdo | Centrocampista Ofensivo Central,26,Bueno,Kaxe
SD Ponferradina ,Spain,Defensor Central,27,Bueno,Pablo Trigueros
CD Mirandés ,Brazil,Segundo Delantero,23,Bueno,Marcos André
Toulouse Football Club ,Uruguay,Defensor Central,22,Bueno,Agustín Rogel
Pordenone ,Italy,Mediocampista Central,21,Bueno,Tommaso Pobega
Defensa y Justicia ,Argentina,Delantero Centro | Extremo Derecho | Extremo Izquierdo,21,Bueno,Enzo Coacci
Free Agents ,Ecuador,Mediocampista Defensivo Central,35,Bueno,Rodrigo Mandive
Free Agents ,Ecuador,Mediocampista Derecho | Mediocampista Central,35,Bueno,Juan Mejídez
SC Braga ,Portugal,Defensor Central,21,Muy Bueno,David Carmo
Marítimo ,Serbia,Defensor Central,24,Bueno,Dejan Kerkez
Villarreal CF ,Spain,Defensor Central,22,Bueno,Javi Fernández
Kaizer Chiefs ,Zambia,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,26,Bueno,Lazarous Kambole
FC Basel 1893 ,Brazil,Mediocampista Central | Centrocampista Ofensivo Central,19,Muy Bueno,Eric Ramires
Arsenal de Sarandí ,Argentina,Arquero,37,Bueno,Maximiliano Gagliardo
Athletic Club ,Spain,Extremo Derecho,22,Muy Bueno,Larrazabal
UD Las Palmas ,Spain,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,24,Bueno,Kirian
Royal Excel Mouscron ,Montenegro,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Deni Hocko
CS Emelec ,Ecuador,Arquero,30,Bueno,Pedro Ortiz
Defensa y Justicia ,Paraguay,Mediocampista Defensivo Central | Mediocampista Central,20,Muy Bueno,Braian Ojeda
Club Olimpia ,Paraguay,Defensor Central,28,Bueno,Carlos Rolón
Club Bolívar ,Bolivia,Mediocampista Defensivo Central | Mediocampista Izquierdo | Mediocampista Central,24,Bueno,Hernán Rodríguez
Gençlerbirligi SK ,Turkey,Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Berat Ayberk Özdemir
En Avant Guingamp ,France,Defensor Lateral Derecho,26,Bueno,Jérémy Mellot
Rodez Aveyron Football ,France,Segundo Delantero,26,Bueno,Ugo Bonnet
FC Chambly Oise ,France,Defensor Central,32,Bueno,Thibault Jaques
Paris Saint-Germain ,France,Defensor Central,19,Bueno,Loïc Mbe Soh
Fotbal Club Viitorul Constan?a ,Netherlands,Defensor Lateral Izquierdo,22,Bueno,Bradley de Nooijer
Fotbal Club Viitorul Constan?a ,Romania,Defensor Central,22,Bueno,Virgil Ghi?a
Fotbal Club Dinamo Bucure?ti ,Croatia,Mediocampista Defensivo Central,27,Bueno,Filip Mrzljak
Asocia?ia Fotbal Club Astra Giurgiu ,Romania,Arquero,28,Bueno,David Lazar
CD Numancia ,Morocco,Mediocampista Derecho | Mediocampista Izquierdo,21,Muy Bueno,Moha
U Craiova 1948 Club Sportiv ,Romania,Extremo Derecho,25,Bueno,Cristi Barbu?
Free Agents ,Paraguay,Defensor Lateral Izquierdo,22,Bueno,Santiago Arzamendia
Sepsi OSK Sfântu Gheorghe ,Romania,Mediocampista Defensivo Central | Mediocampista Central,33,Bueno,Gabriel Va?vari
Sepsi OSK Sfântu Gheorghe ,Romania,Defensor Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Florin ?tefan
Fotbal Club FCSB ,Romania,Defensor Lateral Izquierdo | Defensor Central | Mediocampista Defensivo Central,29,Bueno,Lucian Filip
Fotbal Club Viitorul Constan?a ,Romania,Arquero,24,Bueno,Catalin Cabuz
Fotbal Club FCSB ,Romania,Mediocampista Central | Extremo Derecho,22,Bueno,Darius Olaru
KV Mechelen ,Ivory Coast,Segundo Delantero,23,Bueno,William Togui
Club Social Cultural y Deportivo Blooming,Bolivia,Arquero,21,Bueno,Rubén Cordano
Spartak Moscow ,Russia,Mediocampista Defensivo Central | Mediocampista Central,20,Muy Bueno,Nail Umyarov
Al Ain FC ,United Arab Emirates,Mediocampista Defensivo Central,26,Bueno,Ahmed Barman
Sparta Praha ,Czech Republic,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Filip Panák
Real Betis ,Spain,Defensor Central | Mediocampista Defensivo Central,23,Bueno,Edgar
OGC Nice ,France,Defensor Lateral Izquierdo | Defensor Central,20,Bueno,Andy Pelmard
FC Seoul ,Uzbekistan,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Ikromjon Alibaev
FC St. Gallen 1879 ,Spain,Mediocampista Central | Centrocampista Ofensivo Central,26,Bueno,Víctor Ruiz
UD Las Palmas ,Serbia,Mediocampista Derecho | Mediocampista Izquierdo,28,Bueno,Slavoljub Srnic
Independiente Santa Fe ,Colombia,Defensor Central,22,Muy Bueno,Nicolás Hernández
Boca Juniors ,Argentina,Mediocampista Central,21,Bueno,Nicolás Capaldo
Club Brugge KV ,Ivory Coast,Defensor Lateral Derecho | Defensor Central,19,Muy Bueno,Odilon Kossounou
Rionegro Águilas ,Venezuela,Segundo Delantero,29,Bueno,Anthony Uribe
UD Las Palmas ,Spain,Arquero,23,Bueno,Álvaro Vallés
Fotbal Club Dinamo Bucure?ti ,Romania,Defensor Lateral Derecho | Mediocampista Derecho,22,Bueno,Deian Sorescu
Oita Trinita ,Japan,Mediocampista Derecho | Mediocampista Izquierdo,32,Bueno,Rei Matsumoto
Fiorentina ,Serbia,Segundo Delantero,20,Muy Bueno,Dušan Vlahovic
FC Lorient ,France,Mediocampista Central | Centrocampista Ofensivo Central,20,Muy Bueno,Enzo Le Fée
Matsumoto Yamaga F.C. ,Japan,Defensor Central,34,Bueno,Masaki Iida
Marítimo ,Japan,Segundo Delantero | Mediocampista Derecho | Delantero Centro,22,Bueno,Daizen Maeda
Toulouse Football Club ,France,Mediocampista Defensivo Central | Mediocampista Central,21,Bueno,Kalidou Sidibé
UD Almería ,Spain,Defensor Lateral Izquierdo | Defensor Central,23,Bueno,Iván Martos
Club Brugge KV ,Belgium,Mediocampista Derecho,22,Bueno,Thibault Vlietinck
FC Lugano ,Hungary,Segundo Delantero,26,Bueno,Filip Holender
Havre Athletic Club ,Turkey,Defensor Lateral Izquierdo,24,Bueno,Umut Meras
San Lorenzo de Almagro ,Argentina,Defensor Extremo Derecho | Defensor Lateral Derecho | Defensor Central | Extremo Derecho,21,Muy Bueno,Marcelo Herrera
Club Bolívar ,Bolivia,Defensor Lateral Derecho | Defensor Central,28,Bueno,Oscar Ribera
Independiente del Valle ,Ecuador,Mediocampista Central,21,Bueno,Steven Franco
Gamba Osaka ,Japan,Mediocampista Derecho,27,Bueno,Kosuke Onose
Standard de Liège ,Romania,Segundo Delantero | Extremo Izquierdo,21,Bueno,Denis Dragu?
FC Schalke 04 ,Turkey,Segundo Delantero | Delantero Centro | Extremo Derecho,20,Muy Bueno,Ahmed Kutucu
Vélez Sarsfield ,Argentina,Extremo Derecho | Extremo Izquierdo,19,Muy Bueno,Álvaro Barreal
América de Cali ,Colombia,Mediocampista Defensivo Central | Mediocampista Central,29,Bueno,Carlos Sierra
Málaga CF ,Morocco,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Hicham Boussefiane
Godoy Cruz ,Argentina,Defensor Lateral Derecho | Defensor Central,23,Bueno,Gianluca Ferrari
Santa Clara ,Portugal,Defensor Lateral Izquierdo,24,Bueno,João Lucas
Gimnasia y Esgrima La Plata ,Argentina,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Central,26,Bueno,Maximiliano Comba
Dynamo Kyiv ,Ukraine,Mediocampista Derecho | Mediocampista Izquierdo,19,Muy Bueno,Giorgi Tsitaishvili
Vissel Kobe ,Japan,Defensor Central,29,Bueno,Leo Osaki
Sporting Charleroi ,Belgium,Defensor Lateral Derecho | Mediocampista Derecho,20,Bueno,Maxime Busi
Amiens SC ,Ghana,Defensor Central,22,Bueno,Nicholas Opoku
Sint-Truidense VV ,Guinea,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Defensor Central,24,Bueno,Ibrahima Sory Sankhon
FC Luzern ,Nigeria,Segundo Delantero | Mediocampista Derecho,24,Bueno,Blessing Eleke
IFK Göteborg ,Nigeria,Mediocampista Defensivo Central | Mediocampista Central,20,Muy Bueno,Alhassan Yusuf
Chievo Verona ,Italy,Mediocampista Central,23,Bueno,Jacopo Segre
Club Libertad ,Paraguay,Segundo Delantero,22,Bueno,Sebastián Ferreira
Viktoria Plzen ,Croatia,Segundo Delantero | Mediocampista Derecho | Centrocampista Ofensivo Central,26,Bueno,Marko Alvir
Sanfrecce Hiroshima ,Japan,Arquero,21,Bueno,Keisuke Osako
Albacete BP ,Spain,Defensor Lateral Izquierdo,26,Bueno,Diego Caballo
Chievo Verona ,Croatia,Arquero,22,Bueno,Adrian Šemper
Cracovia ,Croatia,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,24,Bueno,Ivan Fiolic
Wisla Kraków ,Israel,Segundo Delantero,29,Bueno,Alon Turgeman
SV Meppen ,Germany,Segundo Delantero,24,Bueno,Deniz Undav
Lechia Gdansk ,Serbia,Mediocampista Izquierdo,32,Bueno,Zarko Udovicic
Grenoble Foot 38 ,Cameroon,Mediocampista Izquierdo,25,Bueno,Arsène Elogo
Grenoble Foot 38 ,France,Defensor Central,28,Bueno,Éric Vandenabeele
SV Wehen Wiesbaden ,Germany,Segundo Delantero | Mediocampista Derecho | Centrocampista Ofensivo Central,24,Bueno,Daniel-Kofi Kyereh
Elche CF ,Spain,Defensor Central,31,Bueno,Gonzalo Verdú
1. FC Heidenheim 1846 ,Germany,Mediocampista Izquierdo,24,Bueno,Tobias Mohr
Newcastle United ,England,Mediocampista Defensivo Central | Mediocampista Central,20,Muy Bueno,Matthew Longstaff
Sint-Truidense VV ,Brazil,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Allan Sousa
Free Agents ,Ivory Coast,Defensor Lateral Izquierdo,28,Bueno,Wonlo Coulibaly
Heracles Almelo ,Netherlands,Mediocampista Derecho,23,Bueno,Silvester van der Water
Waasland-Beveren ,Serbia,Defensor Central,25,Bueno,Aleksandar Vukotic
Rayo Vallecano ,Spain,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Óscar Valentín
AD Alcorcón ,Spain,Defensor Lateral Derecho,30,Bueno,Paris Adot
Sassuolo ,Turkey,Defensor Lateral Derecho | Defensor Central,21,Bueno,Mert Müldür
Estudiantes de La Plata ,Argentina,Defensor Lateral Izquierdo,22,Bueno,Iván Erquiaga
Cagliari ,Poland,Defensor Central,20,Muy Bueno,Sebastian Walukiewicz
Olympique de Marseille ,France,Defensor Central,21,Bueno,Lucas Perrin
Arsenal de Sarandí ,Argentina,Mediocampista Central | Centrocampista Ofensivo Central,20,Muy Bueno,Lucas Necul
FC Schalke 04 ,Wales,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,19,Muy Bueno,Rabbi Matondo
Oita Trinita ,Japan,Segundo Delantero | Extremo Izquierdo,27,Bueno,Daiki Watari
VfL Osnabrück ,Germany,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Mediocampista Derecho,20,Muy Bueno,Felix Agu
UD Las Palmas ,Spain,Arquero,22,Bueno,Josep Martínez
Newell's Old Boys ,Argentina,Defensor Central,23,Bueno,Stefano Callegari
Getafe CF ,Spain,Segundo Delantero | Mediocampista Izquierdo,20,Muy Bueno,Hugo Duro
Once Caldas ,Colombia,Mediocampista Defensivo Central,23,Bueno,Sebastián Guzmán
Orlando Pirates ,South Africa,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,23,Bueno,Siphesihle Ndlovu
Borussia Dortmund ,Argentina,Defensor Central,21,Muy Bueno,Leonardo Balerdi
West Bromwich Albion ,England,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Defensor Central,19,Muy Bueno,Nathan Ferguson
Real Salt Lake ,United States,Segundo Delantero | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Corey Baird
Sparta Praha ,Czech Republic,Segundo Delantero,21,Bueno,Václav Drchal
Legia Warszawa ,Georgia,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,26,Bueno,Valerian Gvilia
Hamburger SV ,Germany,Defensor Lateral Derecho | Defensor Central,20,Muy Bueno,Jordan Beyer
Leeds United ,France,Arquero,20,Muy Bueno,Illan Meslier
Deportivo Cali ,Colombia,Mediocampista Derecho,20,Muy Bueno,Déiber Caicedo
New York Red Bulls ,Venezuela,Mediocampista Defensivo Central | Mediocampista Central,20,Muy Bueno,Cristian Cásseres Jr
FC Red Bull Salzburg ,Switzerland,Mediocampista Derecho | Mediocampista Izquierdo,20,Muy Bueno,Noah Okafor
Sevilla FC ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Pejiño
Deportivo Toluca ,Mexico,Defensor Central,22,Bueno,Adrián Mora
Orlando Pirates ,Zambia,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,30,Bueno,Augustine Mulenga
Newell's Old Boys ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,22,Muy Bueno,Jeronimo Cacciabue
SV Zulte Waregem ,Germany,Arquero,22,Bueno,Eike Bansen
RSC Anderlecht ,DR Congo,Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Edo Kayembe
Centro Atlético Fénix ,Uruguay,Defensor Lateral Derecho | Defensor Central | Mediocampista Central,27,Bueno,Ángel Rodriguez
Perugia ,Ivory Coast,Mediocampista Central,20,Bueno,Christian Kouan Oulai
AZ ,Netherlands,Segundo Delantero,22,Bueno,Ferdy Druijf
Boca Juniors ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,20,Muy Bueno,Agustín Almendra
SC Paderborn 07 ,Tunisia,Defensor Lateral Derecho | Mediocampista Derecho,24,Bueno,Mohamed Dräger
Deportes Iquique ,Argentina,Centrocampista Ofensivo Central,30,Bueno,Ricardo Blanco
FC København ,Spain,Mediocampista Derecho,23,Bueno,Pep Biel
Argentinos Juniors ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Franco Moyano
Huachipato FC ,Venezuela,Segundo Delantero | Extremo Derecho,26,Bueno,Anthony Blondell
CD Leganés ,Spain,Segundo Delantero | Defensor Lateral Derecho | Mediocampista Derecho,24,Bueno,Aitor Ruibal
SD Huesca ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,19,Muy Bueno,Sergio Gómez
D.C. United ,Costa Rica,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Central,27,Bueno,Ulises Segura
VfL Osnabrück ,Morocco,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,22,Bueno,Anas Ouahim
R. Oviedo ,Panama,Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Yoel Bárcenas
Trabzonspor ,Turkey,Mediocampista Derecho,21,Bueno,Yusuf Sari
Orlando Pirates ,Zambia,Segundo Delantero,23,Bueno,Justin Shonga
Sint-Truidense VV ,Japan,Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Tatsuya Ito
Arsenal de Sarandí ,Argentina,Defensor Lateral Derecho | Defensor Central | Mediocampista Central,23,Bueno,Mateo Carabajal
Envigado FC ,Colombia,Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Neyder Moreno
Hobro IK ,United States,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Emmanuel Sabbi
Club Atlético Banfield ,Argentina,Mediocampista Defensivo Central,24,Bueno,Nicolás Linares
Moreirense FC ,France,Extremo Derecho | Extremo Izquierdo,26,Bueno,Bilel Aouacheria
UD Las Palmas ,Spain,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Fabio González
FC Schalke 04 ,Spain,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,20,Muy Bueno,Miranda
Stade Malherbe Caen ,Slovenia,Mediocampista Izquierdo,23,Bueno,Jan Repas
Athlétic Club Ajaccio ,France,Mediocampista Izquierdo | Centrocampista Ofensivo Central,20,Bueno,Mattéo Tramoni
Manchester United ,England,Centrocampista Ofensivo Central | Extremo Izquierdo,19,Muy Bueno,Angel Gomes
FC Lorient ,Cameroon,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Franklin Wadja
Hibernian ,Scotland,Defensor Central,21,Muy Bueno,Ryan Porteous
KV Kortrijk ,Slovakia,Arquero,23,Bueno,Adam Jakubech
Nîmes Olympique ,Bosnia & Herzegovina,Segundo Delantero | Mediocampista Izquierdo,26,Bueno,Haris Duljevic
Club River Plate Asunción ,Paraguay,Mediocampista Derecho | Centrocampista Ofensivo Central,28,Bueno,Alberto Contrera
Montpellier Hérault SC ,Serbia,Defensor Extremo Izquierdo | Extremo Izquierdo,24,Bueno,Mihailo Ristic
Perugia ,Italy,Arquero,23,Bueno,Guglielmo Vicario
Lokomotiv Moscow ,Russia,Defensor Lateral Izquierdo | Mediocampista Izquierdo,22,Bueno,Mikhail Lysov
R. Zaragoza ,Ghana,Segundo Delantero,24,Bueno,Raphael Dwamena
VfB Stuttgart ,Austria,Segundo Delantero | Centrocampista Ofensivo Central,23,Bueno,Saša Kalajdzic
ESTAC Troyes ,Mali,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Rominigue Kouamé
Royal Antwerp FC ,France,Defensor Central,24,Bueno,Dylan Batubinsika
Zaglebie Lubin ,Poland,Defensor Lateral Derecho | Mediocampista Derecho,27,Bueno,Alan Czerwinski
FC Basel 1893 ,Kosovo,Mediocampista Derecho | Mediocampista Izquierdo,21,Muy Bueno,Edon Zhegrova
Club Atlas ,Mexico,Defensor Lateral Izquierdo,22,Bueno,Jesús Angulo
Olympiacos CFP ,Brazil,Mediocampista Izquierdo | Mediocampista Central,26,Bueno,Bruno Felipe
Wolfsberger AC ,Austria,Mediocampista Central,20,Muy Bueno,Romano Schmid
Hannover 96 ,Kosovo,Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Florent Muslija
Peterborough United ,Sudan,Segundo Delantero,26,Bueno,Mo Eisa
Angers SCO ,France,Segundo Delantero,22,Bueno,Wilfried Kanga
Ascoli ,France,Defensor Central,22,Bueno,Andrew Gravillon
VfL Osnabrück ,Germany,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Bryan Henning
Royal Antwerp FC ,Nigeria,Defensor Central,24,Bueno,Junior Pius
Curicó Unido ,Argentina,Defensor Central | Mediocampista Defensivo Central,26,Bueno,Franco Bechtholdt
Stade de Reims ,Netherlands,Segundo Delantero,22,Bueno,Kaj Sierhuis
Real Racing Club ,Georgia,Mediocampista Derecho | Centrocampista Ofensivo Central,24,Bueno,Giorgi Papunashvili
KV Oostende ,Belgium,Mediocampista Derecho | Extremo Derecho,21,Bueno,Robbie D'Haese
